IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
161	Bootstrap 3.3.6 Specific	Images in Suggested result no alt text (WCAG 1.1.1)	Search suggestion results in ServiceNow Service Portal display images without proper alt text, violating WCAG 1.1.1. Screen reader users receive no context about the suggested items, leading to poor navigation in search features.,	All images in search suggestions have descriptive alt text or are marked decorative with aria-hidden.,	Run search in litmus widget or real portal, inspect suggestions with axe-core; confirm no missing alt violations.,	Add alt text via widget templates in core-overrides.,	CSS fallback with aria-label for suggestion images.,	a11y.scss rule enforcing alt on search images.,	Theme search widget standardization.,	Medium
162	Bootstrap 3.3.6 Specific	Search results images no defined names (WCAG 1.1.1)	Search result images lack accessible names (alt or aria-label), violating WCAG 1.1.1. Screen readers announce generic or no information for result thumbnails.,	Every search result image has a meaningful accessible name.,	Perform search and inspect results with screen reader; confirm proper announcement.,	Override search result image templates with alt in core-overrides.,	CSS + aria-label fallback.,	a11y.scss enforcement for search images.,	Theme search component update.,	Low
163	Bootstrap 3.3.6 Specific	Action menu decorative image in name (WCAG 1.1.1)	Action menu icons are included in accessible name without being marked decorative, causing screen readers to announce irrelevant icon descriptions in lists and tables.,	Decorative action menu images are properly hidden from screen readers.,	Inspect action menus in litmus widget; confirm icons are silent to screen readers.,	Add aria-hidden to action menu icons in core-overrides.,	CSS rule for decorative menu items.,	a11y.scss block for menus.,	Theme list action standardization.,	Low
164	Bootstrap 3.3.6 Specific	Cloud icon focusable (WCAG 1.1.1)	The cloud icon (loading or status) is focusable but has no purpose or label, violating WCAG 1.1.1 and 2.4.7.,	Non-interactive cloud icons are not focusable and have proper aria-hidden.,	Tab through page with loading states; confirm cloud icon is skipped.,	Add tabindex="-1" and aria-hidden to cloud icons in core-overrides.,	CSS rule for status icons.,	a11y.scss enforcement.,	Theme global icon fixes.,	Low
165	Bootstrap 3.3.6 Specific	Remove from Wishlist heading level 1 (WCAG 1.3.1)	"Remove from Wishlist" text uses heading level 1 incorrectly in catalog, violating WCAG 1.3.1 heading hierarchy.,	All headings follow proper hierarchy; no misuse of h1.,	Inspect wishlist section in litmus or catalog; confirm heading levels are correct.,	Change to appropriate heading level in widget templates in core-overrides.,	CSS styling for correct headings.,	a11y.scss rule for heading validation.,	Theme catalog widget update.,	Low
166	Bootstrap 3.3.6 Specific	Radio group in Thanks dialog no association (WCAG 1.3.1)	Radio buttons in "Thanks" dialog lack proper grouping and labels, violating WCAG 1.3.1.,	Radio groups have fieldset/legend and associated labels.,	Open thanks dialog and inspect with axe-core; confirm grouping passes.,	Add fieldset/legend in dialog templates in core-overrides.,	CSS for group styling.,	a11y.scss enforcement.,	Theme dialog standardization.,	Low
167	Bootstrap 3.3.6 Specific	Required fields no required attribute (WCAG 1.3.1)	Required fields in forms lack aria-required or HTML5 required, violating WCAG 1.3.1.,	All required fields have aria-required="true" and visible indicator.,	Inspect forms in litmus widget; confirm required attributes present.,	Add aria-required to form fields in core-overrides.,	CSS var for required styling.,	a11y.scss rule.,	Theme form template update.,	Low
168	Bootstrap 3.3.6 Specific	All headings level 4 on status page (WCAG 1.3.1)	Status page uses multiple h4 headings without proper hierarchy, violating WCAG 1.3.1.,	Headings follow logical hierarchy (h1-h6).,	Inspect status page; confirm proper heading structure.,	Update heading levels in status widget templates in core-overrides.,	CSS for heading styles.,	a11y.scss heading enforcement.,	Theme status page standardization.,	Low
169	Bootstrap 3.3.6 Specific	Verbose add attachment description (WCAG 1.3.1)	"Add Attachment" button has verbose, redundant description read by screen readers, violating WCAG 1.3.1.,	Button accessible name is concise and clear.,	Inspect attachment button with screen reader; confirm concise name.,	Simplify accessible name in core-overrides templates.,	CSS for button text.,	a11y.scss rule.,	Theme attachment widget update.,	Low
170	Bootstrap 3.3.6 Specific	Reset Password steps no list formatting (WCAG 1.3.1)	Reset password steps are not marked as ordered or unordered list, violating WCAG 1.3.1.,	Steps are properly marked as <ol> or <ul> with correct roles.,	Inspect reset password page; confirm list structure.,	Update steps to list markup in core-overrides.,	CSS for list styling.,	a11y.scss enforcement.,	Theme password reset standardization.,	Low
