IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
61	Screen Reader / ARIA	Search results count not live	Search result count updates (e.g. "Showing 1-10 of 50") are not in aria-live regions, violating WCAG 4.1.3 Status Messages. Screen reader users miss when results refresh after filtering or searching.	Search result count updates are announced immediately to screen readers using aria-live="polite".	Perform a search or filter in litmus widget; confirm screen reader announces updated count instantly.	Add aria-live="polite" to result count div in core-overrides	CSS var for live region styling	a11y.scss rule enforcing live on search results	Theme script for dynamic result announcements	Low
62	Screen Reader / ARIA	Knowledge article ratings not labeled	Rating stars or thumbs in knowledge articles lack aria-label or role, violating WCAG 4.1.2. Screen readers announce only "star" without context like "Rate this article 4 out of 5".	All rating components have descriptive aria-labels and roles.	Interact with rating in knowledge article via screen reader in litmus; confirm full context announcement.	Add aria-label="Rate this article" to rating elements in core	CSS rule for star styling with ARIA	a11y.scss block for rating widgets	Theme knowledge article widget update	Low
63	Screen Reader / ARIA	Catalog cart items announcement	Shopping cart items in service catalog do not announce added/removed items with aria-live, violating WCAG 4.1.3. Users miss cart status changes.	Cart changes announce "Item added to cart: Laptop - Quantity 1" etc.	Add item to cart in litmus; confirm announcement.	Add aria-live to cart badge and status in core-overrides	CSS for cart elements	a11y.scss enforcement for catalog cart	Theme cart widget script	Medium
64	Screen Reader / ARIA	Notification messages not announced	System notifications and toast messages lack live regions, violating WCAG 4.1.3. Screen reader users miss important alerts like "Ticket submitted successfully".	All notifications are announced via aria-live="assertive".	Trigger notification in litmus; confirm immediate announcement.	Add aria-live="assertive" to notification container in core	CSS var for notification styling	a11y.scss rule for all .alert and toast	Theme notification component standardization	Low
65	Screen Reader / ARIA	Screen reader reads raw HTML in widgets	Custom widgets contain raw HTML comments or script tags that screen readers vocalize, violating WCAG 4.1.2 and causing garbled output.	No raw HTML or comments are read by screen readers (hidden properly).	Inspect widget with screen reader in litmus; confirm clean output only.	Add aria-hidden or comment removal in core-overrides	CSS to hide debug elements	a11y.scss cleanup rules	Theme widget HTML sanitization	Low
66	Forms & Inputs	Missing labels on text inputs	Text inputs in forms lack associated <label>, violating WCAG 3.3.2 and 1.3.1. Screen readers and low-vision users have no context for fields like "Incident number".	Every text input has a persistent visible label correctly associated.	Focus any text input in litmus with screen reader; confirm label is announced.	Add explicit <label for="id"> in widget templates in core	CSS rule for label visibility	a11y.scss enforcement block	Theme form field template update	Low
67	Forms & Inputs	Select dropdowns unlabeled	Select dropdowns lack labels or use placeholder only, violating WCAG 3.3.2. Users don't know what the dropdown selects (e.g. "Category").	Every select has a visible label and aria-labelledby.	Focus select in litmus; confirm label announcement.	Add label and aria-labelledby in core-overrides templates	CSS for dropdown styling	a11y.scss rule for selects	Theme select component standardization	Low
68	Forms & Inputs	Checkbox groups without fieldset/legend	Checkbox groups lack <fieldset> and <legend>, violating WCAG 1.3.1 and 3.3.2. Screen readers treat them as unrelated items without group context.	All checkbox groups wrapped in fieldset with legend.	Tab through checkbox group in litmus; confirm group context announced.	Add fieldset/legend in form templates in core	CSS for fieldset styling	a11y.scss enforcement	Theme form group template	Low
69	Forms & Inputs	Radio buttons poor grouping	Radio button groups lack proper grouping and labels, violating WCAG 1.3.1. Users cannot understand the group purpose.	Radio groups have fieldset/legend and individual labels.	Tab through radio group in litmus; confirm clear grouping.	Add fieldset for radios in core-overrides	CSS rule for group	 a11y.scss block	Theme radio template	Low
70	Forms & Inputs	Small touch targets (<44px)	Buttons, links, and form controls have touch targets smaller than 44x44px, violating WCAG 2.5.5 Target Size (AAA). Mobile users with motor impairments struggle to tap accurately.	All interactive elements have minimum 44px touch target.	Inspect buttons/inputs in litmus on mobile emulator; measure and confirm >=44px.	Add min-height: 44px; padding to all buttons/inputs in core-overrides	CSS var for touch size	a11y.scss !important for small elements	Theme global button/input sizing	Medium
