IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
121	Bootstrap 3.3.6 Specific	Float grid causing focus/layout shifts	"Bootstrap 3.3.6 relies on float-based grid (.row, .col-*) which can cause layout shifts and focus order problems when combined with modern CSS or dynamic content, violating WCAG 2.4.3 Focus Order and 1.3.1. Keyboard users experience unexpected jumps or hidden elements in responsive layouts.","Grid maintains stable focus order and no layout shift on resize or content change; focus follows visual order.","Resize browser and tab through grid-based sections in litmus widget; confirm stable focus and no shifts.","Add display:flex and modern grid fallbacks with logical properties in snowboots-core-overrides.scss","CSS custom properties for gutter and order control","a11y.scss rule enforcing flex order","Theme-level grid modernization override","Medium"
122	Bootstrap 3.3.6 Specific	Glyphicon icons inaccessible	"Glyphicon font icons have no text alternative or aria-label, violating WCAG 1.1.1 and 4.1.2. Screen readers announce generic 'icon' or nothing, losing meaning for action buttons and status indicators.","Every glyphicon has aria-hidden if decorative or aria-label if meaningful.","Inspect glyphicon icons in litmus widget with screen reader; confirm correct announcement or silence.","Add aria-hidden="true" to decorative glyphs and aria-label for meaningful ones in core-overrides","CSS rule targeting .glyphicon classes","a11y.scss block for icon accessibility","Theme icon font replacement guideline","Low"
123	Bootstrap 3.3.6 Specific	Navbar collapse button poor labeling	"The navbar toggle button (hamburger) has poor or missing accessible name in collapsed state, violating WCAG 4.1.2. Screen reader users don't know what the button does.","Navbar collapse button has clear aria-label="Toggle navigation" and announces state.","Tab to navbar toggle in litmus widget; confirm clear announcement.","Add aria-label and aria-expanded to navbar toggle in core-overrides","CSS var for navbar button styles","a11y.scss rule enforcing labeling","Theme navbar component fix","Low"
124	Bootstrap 3.3.6 Specific	Modal close button announcement	"Modal close (X) button has poor or duplicate announcement (e.g. announced twice), violating WCAG 4.1.2 and 2.4.3.","Modal close button has unique, clear accessible name and proper focus management.","Open modal and tab to close button with screen reader; confirm single clear announcement.","Add aria-label="Close modal" to close button in core-overrides","CSS rule for modal close styling","a11y.scss block for modal buttons","Theme modal template standardization","Low"
125	Bootstrap 3.3.6 Specific	Dropdown caret not announced	"Dropdown caret icons lack text equivalent or aria, causing screen readers to miss the expandable nature, violating WCAG 4.1.2.","Dropdown carets announce as expandable with aria-expanded.","Interact with dropdowns in litmus widget; confirm caret state announcement.","Add aria-haspopup and aria-expanded to dropdown toggles in core-overrides","CSS var for caret visibility","a11y.scss rule for dropdown ARIA","Theme dropdown component update","Low"
126	Bootstrap 3.3.6 Specific	Button groups keyboard order	"Button groups have incorrect keyboard tab order due to float layout, violating WCAG 2.4.3.","Button groups maintain logical left-to-right tab order.","Tab through button groups in litmus widget; confirm sequential order.","Apply flexbox ordering in core-overrides for .btn-group","CSS logical properties","a11y.scss focus order enforcement","Theme button group standardization","Low"
127	Bootstrap 3.3.6 Specific	Pagination in lists	"Pagination components in lists have poor focus and ARIA, violating WCAG 2.4.7 and 4.1.2.","Pagination is fully keyboard accessible with clear states.","Tab through pagination in litmus widget; confirm accessibility.","Override pagination with full ARIA and focus styles in core-overrides","CSS vars for pagination","a11y.scss pagination block","Theme list pagination fix","Low"
128	Bootstrap 3.3.6 Specific	Data tables in widgets	"Data tables in widgets lack proper headers, scope, and ARIA, violating WCAG 1.3.1.","All data tables have correct headers and ARIA.","Inspect tables in litmus widget; confirm no violations.","Add scope and caption via templates in core-overrides","CSS table enhancements","a11y.scss table ARIA enforcement","Theme table widget template","Medium"
129	Bootstrap 3.3.6 Specific	Form controls in Bootstrap classes	"Form controls using Bootstrap classes have inconsistent labeling and focus, violating multiple criteria.","All form controls are fully accessible.","Test forms in litmus widget; confirm compliance.","Broad overrides for .form-control in core-overrides","CSS vars for form elements","a11y.scss form focus and label rules","Theme form standardization","Low"
130	Bootstrap 3.3.6 Specific	Alert dismiss buttons	"Alert dismiss buttons have poor labeling or focus, violating WCAG 2.4.7 and 4.1.2.","Alert dismiss buttons are clearly labeled and focusable.","Trigger alert and tab to dismiss; confirm accessibility.","Add aria-label to dismiss buttons in core-overrides","CSS dismiss styling","a11y.scss alert button block","Theme alert component fix","Low"
