IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
141	Bootstrap 3.3.6 Specific	Overridden buttons in widget 1	Custom widgets override Bootstrap button styles inconsistently, leading to missing focus, low contrast, or broken ARIA on action buttons.	All custom widget buttons have full SnowBoots overrides applied with proper focus and contrast.	Test button in custom widget with litmus or axe; confirm passes.	Add broad .widget .btn selector in core-overrides.scss	Define widget-specific CSS vars	!important block in a11y.scss	Theme widget standardization	Medium
142	Bootstrap 3.3.6 Specific	Overridden navbar in widget 2	Custom navbars break focus order and landmark roles due to Bootstrap overrides.	Custom navbars maintain logical tab order and landmarks.	Tab through custom navbar; confirm order and announcement.	Apply navbar fixes to widget classes in core	ARIA rules in a11y.scss	JS polyfill for widget nav	Theme navbar template	Medium
143	Bootstrap 3.3.6 Specific	Overridden forms in widget 3	Custom forms lose label association and placeholder handling.	Forms in widgets have proper labels and placeholders.	Test form in widget; confirm label association.	Extend form overrides to .widget forms	Label enforcement in a11y	Theme form standardization	JS form helper	Low
144	Bootstrap 3.3.6 Specific	Overridden forms in widget 4	Widget-specific form controls miss required indicators and error linking.	All required fields and errors are properly marked in widgets.	Submit invalid widget form; confirm announcements.	Add required/error rules to widget selectors	ARIA enforcement	Theme variables	Core mixin	Low
145	Bootstrap 3.3.6 Specific	Overridden forms in widget 5	Custom forms have poor touch targets and focus in Bootstrap overrides.	Form controls in widgets meet 44px touch target and focus.	Inspect widget form on mobile; confirm sizes and focus.	Min-height overrides in core for widget inputs	Focus rules extension	a11y.scss touch target boost	Theme form CSS	Low
146	Bootstrap 3.3.6 Specific	Overridden forms in widget 6	Widget forms ignore SnowBoots placeholder and contrast fixes.	Placeholders and contrast apply to widget forms.	Test widget input placeholder contrast.	Broad selector for .widget .form-control	Placeholder var reuse	!important in a11y	Theme sync	Low
147	Bootstrap 3.3.6 Specific	Overridden forms in widget 7	Custom forms lack ARIA for dynamic fields in widgets.	Dynamic fields in widgets have proper ARIA.	Test dynamic widget form with screen reader.	ARIA polyfill targeting widget forms	Core ARIA rules	a11y.scss enforcement	Theme script	Medium
148	Bootstrap 3.3.6 Specific	Overridden forms in widget 8	Widget forms have duplicate IDs from Bootstrap patterns.	No duplicate IDs in widget forms.	Run axe on widget; confirm unique IDs.	Unique ID prefix in widget templates	Core selector rule	a11y enforcement	Theme cleanup	Low
149	Bootstrap 3.3.6 Specific	Overridden forms in widget 9	Custom forms miss SnowBoots table header fixes when containing tables.	Tables inside widgets have proper headers.	Test widget with embedded table.	Extend table overrides to .widget table	Header vars	!important in a11y	Theme table standard	Low
150	Bootstrap 3.3.6 Specific	Overridden forms in widget 10	Widget forms break reduced motion and focus persistence.	Widget forms respect reduced motion and persistent focus.	Test widget form with reduced motion emulation.	Reduced motion rules applied to widgets	Persistent focus extension	a11y.scss block	Theme script	Low
151	Custom Widget	Reference icons skipped in tabbing	Reference icons in lists are skipped or not focusable in custom widgets.	All reference icons are keyboard reachable.	Tab through list with reference icons.	Add tabindex and role in core for reference classes	Focus styles	ARIA in a11y	Theme widget fix	Low
152	Custom Widget	Dark theme not inherited	Custom widgets do not inherit dark theme contrast fixes.	Widgets respect dark theme overrides.	Switch to dark theme and test widget.	Extend vars to widget classes	Dark mode media query	a11y dark rules	Theme dark variables	Medium
153	Custom Widget	Patterned charts missing	Charts in widgets lack pattern alternatives for color-blind users.	Charts have patterns or data tables.	Test chart widget with color-blind simulator.	Add pattern CSS or table fallback	Core chart rule	a11y pattern enforcement	Theme chart standard	Medium
154	Custom Widget	Jargon in content	Custom widgets use unexplained jargon without definitions.	All jargon has tooltips or expansions.	Screen reader test on widget content.	Add title or aria-describedby	Tooltip styles	Content guideline in docs	Theme help text	Low
155	Custom Widget	Non-localized content	Widget content is not localized for screen reader language.	Content respects page lang attribute.	Test with screen reader language change.	HTML lang propagation to widgets	ARIA lang rules	Theme localization	Low
156	Custom Widget	Inconsistent components	Widgets use inconsistent button/form styles vs core.	All widgets match SnowBoots styles.	Visual comparison of widget vs core.	Broad widget class overrides in core	Vars reuse	a11y consistency block	Theme standard	Medium
157	Custom Widget	Complex field no help	Complex custom fields lack help text or instructions.	Complex fields have associated help.	Test complex widget field.	Add aria-describedby for help	Help text styles	Theme field template	Low
158	Custom Widget	Inappropriate input types	Widgets use text inputs for dates/emails without proper types.	Inputs use semantic types (date, email).	Inspect widget inputs.	Override input types in widget templates	Core type enforcement	a11y type rules	Theme form standard	Low
159	Custom Widget	Missing date/time fields	Custom date/time fields lack proper ARIA and keyboard support.	Date/time fields are fully accessible.	Test date widget.	Extend date picker fixes to widgets	ARIA + keyboard	Theme script	Medium
160	Custom Widget	Search bar not prominent	Custom search bars lack prominent focus and labeling.	Search bars are clearly labeled and focused.	Tab to search in widget.	Enhance search overrides for widgets	Focus + label rules	a11y search block	Theme search standard	Low
